Stem_diam_mm	Ph1	Ph2	Ph3	Ph4	Ph5	Ph6	Ph7	Ph8
5.37	0	0	0	0	0	0	1	0
9.25	0	0	0	1	0	0	0	0
7.25	0	0	0	1	0	0	0	0
7.57	0	0	0	0	0	0	0	1
7.21	0	0	0	0	0	0	0	1
7.6	1	0	0	0	0	0	0	0
7.57	0	0	0	0	0	0	0	1
7.5	1	0	0	0	0	0	0	0
9.3	0	0	0	1	0	0	0	0
6.9	1	0	0	0	0	0	0	0
3.84	0	0	0	0	0	0	1	0
5.885	0	0	0	0	0	0	1	0
7.7	1	0	0	0	0	0	0	0
8.1	1	0	0	0	0	0	0	0
5.5	1	0	0	0	0	0	0	0
6.4	0	1	0	0	0	0	0	0
6.7	0	1	0	0	0	0	0	0
4.305	0	0	0	0	0	0	0	1
3.45	0	0	0	0	0	0	1	0
9.545	0	0	0	0	0	0	1	0
5.8	1	0	0	0	0	0	0	0
7.1	0	1	0	0	0	0	0	0
6.435	0	0	0	0	0	0	0	1
4.19	0	0	0	0	1	0	0	0
7.5	1	0	0	0	0	0	0	0
5.77	0	0	0	0	0	1	0	0
4.505	0	0	0	0	0	0	1	0
6.585	0	0	0	0	0	0	0	1
7.9	0	0	0	1	0	0	0	0
7.45	0	0	0	0	0	0	0	1
3.535	0	0	0	0	0	0	0	1
5.75	0	0	0	1	0	0	0	0
5.77	0	0	0	0	1	0	0	0
5.59	0	1	0	0	0	0	0	0
3.54	0	0	0	0	0	0	0	1
6.025	0	0	0	0	0	1	0	0
6.25	0	0	0	0	1	0	0	0
7.45	0	0	0	1	0	0	0	0
4.6	1	0	0	0	0	0	0	0
7	0	1	0	0	0	0	0	0
4.685	0	0	0	0	0	0	0	1
5.4	0	0	0	1	0	0	0	0
6.8	0	0	1	0	0	0	0	0
4.92	0	0	0	0	0	0	0	1
5.7	1	0	0	0	0	0	0	0
6.825	0	0	0	0	1	0	0	0
6.4	0	0	1	0	0	0	0	0
6.55	0	1	0	0	0	0	0	0
4.675	0	0	0	0	1	0	0	0
